FIPS,Area Name,Qualifying Name,State Postal Abbreviation,Summary Level,Geographic Component,File identification,Logical Record Number,US,Census Region,Census Division,State (Census Code),State (FIPS Code),County of current residence,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Area,New England City and Town Area,New England City and Town Area Division,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),5-digit ZIP Code Tabulation Area,Subminor Civil Division (FIPS),State-School District (Elementary),State-School District (Secondary),State-School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 5% File,Public Use Microdata Area - 1% File,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Workers 16 Years and Over:,"Workers 16 Years and Over: Car, Truck, or Van",Workers 16 Years and Over: Drove Alone,Workers 16 Years and Over: Carpooled,Workers 16 Years and Over: Public Transportation (Includes Taxicab),Workers 16 Years and Over: Motorcycle,Workers 16 Years and Over: Bicycle,Workers 16 Years and Over: Walked,Workers 16 Years and Over: Other Means,Workers 16 Years and Over: Worked At Home,"% Workers 16 Years and Over: Car, Truck, or Van",% Workers 16 Years and Over: Drove Alone,% Workers 16 Years and Over: Carpooled,% Workers 16 Years and Over: Public Transportation (Includes Taxicab),% Workers 16 Years and Over: Motorcycle,% Workers 16 Years and Over: Bicycle,% Workers 16 Years and Over: Walked,% Workers 16 Years and Over: Other Means,% Workers 16 Years and Over: Worked At Home
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,PCT_SE_A09005_002,PCT_SE_A09005_009,PCT_SE_A09005_010,PCT_SE_A09005_003,PCT_SE_A09005_004,PCT_SE_A09005_005,PCT_SE_A09005_006,PCT_SE_A09005_007,PCT_SE_A09005_008
1.3063E+11,Block Group 1,"Block Group 1, Census Tract 402.02, Clayton County, Georgia",ga,150,0,ACSSF,5132,,,,,13,63,,,,40202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630402021,,,8636228,62680,692,572,462,110,108,0,0,0,0,12,82.66,66.76,15.9,15.61,0,0,0,0,1.73
1.3063E+11,Block Group 2,"Block Group 2, Census Tract 402.02, Clayton County, Georgia",ga,150,0,ACSSF,5133,,,,,13,63,,,,40202,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630402022,,,1369310,35129,577,479,433,46,74,0,0,0,0,24,83.02,75.04,7.97,12.82,0,0,0,0,4.16
1.3063E+11,Block Group 1,"Block Group 1, Census Tract 402.03, Clayton County, Georgia",ga,150,0,ACSSF,5134,,,,,13,63,,,,40203,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630402031,,,473199,6527,330,230,180,50,48,0,13,0,0,39,69.7,54.55,15.15,14.55,0,3.94,0,0,11.82
1.3063E+11,Block Group 2,"Block Group 2, Census Tract 402.03, Clayton County, Georgia",ga,150,0,ACSSF,5135,,,,,13,63,,,,40203,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630402032,,,2431394,3884,1674,1365,1149,216,180,40,0,29,18,42,81.54,68.64,12.9,10.75,2.39,0,1.73,1.08,2.51
1.3063E+11,Block Group 1,"Block Group 1, Census Tract 402.04, Clayton County, Georgia",ga,150,0,ACSSF,5136,,,,,13,63,,,,40204,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630402041,,,797421,17857,873,735,575,160,59,0,0,0,23,56,84.19,65.86,18.33,6.76,0,0,0,2.63,6.41
1.3063E+11,Block Group 2,"Block Group 2, Census Tract 402.04, Clayton County, Georgia",ga,150,0,ACSSF,5137,,,,,13,63,,,,40204,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630402042,,,976658,436,664,463,463,0,152,0,0,49,0,0,69.73,69.73,0,22.89,0,0,7.38,0,0
1.3063E+11,Block Group 3,"Block Group 3, Census Tract 402.04, Clayton County, Georgia",ga,150,0,ACSSF,5138,,,,,13,63,,,,40204,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630402043,,,950382,3875,931,809,673,136,85,0,0,0,0,37,86.9,72.29,14.61,9.13,0,0,0,0,3.97
1.3063E+11,Block Group 1,"Block Group 1, Census Tract 403.02, Clayton County, Georgia",ga,150,0,ACSSF,5139,,,,,13,63,,,,40302,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403021,,,1556780,12223,404,337,238,99,67,0,0,0,0,0,83.42,58.91,24.5,16.58,0,0,0,0,0
1.3063E+11,Block Group 2,"Block Group 2, Census Tract 403.02, Clayton County, Georgia",ga,150,0,ACSSF,5140,,,,,13,63,,,,40302,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403022,,,1115703,9043,380,341,272,69,39,0,0,0,0,0,89.74,71.58,18.16,10.26,0,0,0,0,0
